code;label-en_US;label-zh_CN;label-es_ES;attribute;sort_order
000987;"Samantha Sung";"Samantha Sung";"Samantha Sung";designer;0
200238;"Dress Up Every Day";"Dress Up Every Day";"Dress Up Every Day";designer;0
003739;"Silvia Fendi";"Silvia Fendi";"Silvia Fendi";designer;0
000913;Kaschmir;Kaschmir;Kaschmir;designer;0
000988;"Victoria Victoria Beckham";"Victoria Victoria Beckham";"Victoria Victoria Beckham";designer;0
200242;"Issa London Limited";"Issa London Limited";"Issa London Limited";designer;0
003740;Dior;Dior;Dior;designer;0
000915;"Ugg & Jimmy Choo";"Ugg & Jimmy Choo";"Ugg & Jimmy Choo";designer;0
000989;"Jefferson Hack";"Jefferson Hack";"Jefferson Hack";designer;0
200243;"Sensi Studio Ecuador";"Sensi Studio Ecuador";"Sensi Studio Ecuador";designer;0
003741;"Alessandro Michele";"Alessandro Michele";"Alessandro Michele";designer;0
000916;"Gryphon New York";"Gryphon New York";"Gryphon New York";designer;0
200263;Rag&Bone;Rag&Bone;Rag&Bone;designer;0
003744;Hogan;Hogan;Hogan;designer;0
000919;Gucci;Gucci;Gucci;designer;0
000993;"Makri for The Row";"Makri for The Row";"Makri for The Row";designer;0
200278;"Frauenschuh Herren";"Frauenschuh Herren";"Frauenschuh Herren";designer;0
003745;"Raf Simons";"Raf Simons";"Raf Simons";designer;0
000920;"Jil Sander Navy";"Jil Sander Navy";"Jil Sander Navy";designer;0
000994;"J Brand RTW";"J Brand RTW";"J Brand RTW";designer;0
200293;"Mr & Mrs Furs";"Mr & Mrs Furs";"Mr & Mrs Furs";designer;0
003746;"Birthe Piontek";"Birthe Piontek";"Birthe Piontek";designer;0
000921;"Brian Atwood";"Brian Atwood";"Brian Atwood";designer;0
000995;"CZ by Kenneth Jay Lane";"CZ by Kenneth Jay Lane";"CZ by Kenneth Jay Lane";designer;0
200295;"Opening Ceremony Schuhe";"Opening Ceremony Schuhe";"Opening Ceremony Schuhe";designer;0
003747;"Peyton Fulford";"Peyton Fulford";"Peyton Fulford";designer;0
000922;"Charlotte Olympia";"Charlotte Olympia";"Charlotte Olympia";designer;0
000996;"Avec Modération";"Avec Modération";"Avec Modération";designer;0
200298;Wehve;Wehve;Wehve;designer;0
003748;"Anne Schwalbe";"Anne Schwalbe";"Anne Schwalbe";designer;0
000923;"Chloë Sevigny for Opening Ceremony";"Chloë Sevigny for Opening Ceremony";"Chloë Sevigny for Opening Ceremony";designer;0
000998;"Tom Ford";"Tom Ford";"Tom Ford";designer;0
200303;"Flowers&Leaves by Osanna Madina";"Flowers&Leaves by Osanna Madina";"Flowers&Leaves by Osanna Madina";designer;0
003749;"Peng Ke";"Peng Ke";"Peng Ke";designer;0
000924;"Alice + Olivia";"Alice + Olivia";"Alice + Olivia";designer;0
000999;Prada;Prada;Prada;designer;0
200306;"J Brand Europe LTD London";"J Brand Europe LTD London";"J Brand Europe LTD London";designer;0
000925;"Levi's Vintage Clothing";"Levi's Vintage Clothing";"Levi's Vintage Clothing";designer;0
003752;"Alexander McQueen Kids";"Alexander McQueen Kids";"Alexander McQueen Kids";designer;0
000927;L'Agence;L'Agence;L'Agence;designer;0
001002;Shourouk;Shourouk;Shourouk;designer;0
200311;Satellite;Satellite;Satellite;designer;0
003753;"Heidi Klein Kids";"Heidi Klein Kids";"Heidi Klein Kids";designer;0
000929;Cada;Cada;Cada;designer;0
001003;Stouls;Stouls;Stouls;designer;0
200314;"Cashmere Doc";"Cashmere Doc";"Cashmere Doc";designer;0
003754;"Loro Piana Kids";"Loro Piana Kids";"Loro Piana Kids";designer;0
000930;"Italia Independent";"Italia Independent";"Italia Independent";designer;0
001004;Helmut;Helmut;Helmut;designer;0
200319;"Philippe Ferrandis";"Philippe Ferrandis";"Philippe Ferrandis";designer;0
003755;Bernadette;Bernadette;Bernadette;designer;0
000931;"Sonya Renee LLC";"Sonya Renee LLC";"Sonya Renee LLC";designer;0
001005;"Victoria Beckham Denim";"Victoria Beckham Denim";"Victoria Beckham Denim";designer;0
200330;"Stella Mc Cartney";"Stella Mc Cartney";"Stella Mc Cartney";designer;0
003756;"Nike Kids";"Nike Kids";"Nike Kids";designer;0
000932;"Inverni S.R.L.";"Inverni S.R.L.";"Inverni S.R.L.";designer;0
001006;Inhabit;Inhabit;Inhabit;designer;0
200335;"Nike Schuhe";"Nike Schuhe";"Nike Schuhe";designer;0
003757;"Alan Crocetti";"Alan Crocetti";"Alan Crocetti";designer;0
000000;Dummy-Auffang;Dummy-Auffang;Dummy-Auffang;designer;0
001007;Lanz;Lanz;Lanz;designer;0
200346;"mytheresa.com x nymphenburg porzellan";"mytheresa.com x nymphenburg porzellan";"mytheresa.com x nymphenburg porzellan";designer;0
003758;AMI;AMI;AMI;designer;0
000302;"Martin Grant Paris";"Martin Grant Paris";"Martin Grant Paris";designer;0
001012;Wolford;Wolford;Wolford;designer;0
200356;Puma;Puma;Puma;designer;0
003759;"Ernest Leoty";"Ernest Leoty";"Ernest Leoty";designer;0
000303;"Catherine Malandrino";"Catherine Malandrino";"Catherine Malandrino";designer;0
001128;"House of Waris";"House of Waris";"House of Waris";designer;0
200523;"Ralph Lauren Germany GmbH";"Ralph Lauren Germany GmbH";"Ralph Lauren Germany GmbH";designer;0
003760;"Emilia Wickstead";"Emilia Wickstead";"Emilia Wickstead";designer;0
000304;Jungal;Jungal;Jungal;designer;0
001129;"Poiray Paris";"Poiray Paris";"Poiray Paris";designer;0
200533;"Mc Q";"Mc Q";"Mc Q";designer;0
003761;"Hunting Season";"Hunting Season";"Hunting Season";designer;0
000305;Theory;Theory;Theory;designer;0
001124;"Saint Laurent";"Saint Laurent";"Saint Laurent";designer;0
200537;"President Srl";"President Srl";"President Srl";designer;0
003762;"KASSL Editions";"KASSL Editions";"KASSL Editions";designer;0
000309;"Narciso Rodriguez";"Narciso Rodriguez";"Narciso Rodriguez";designer;0
001130;"Stone Paris";"Stone Paris";"Stone Paris";designer;0
200569;Collonil;Collonil;Collonil;designer;0
003763;"Matériel Tbilisi";"Matériel Tbilisi";"Matériel Tbilisi";designer;0
000326;"Giorgio Brato";"Giorgio Brato";"Giorgio Brato";designer;0
001009;"Ancient Greek Sandals";"Ancient Greek Sandals";"Ancient Greek Sandals";designer;0
200570;"P.E. Natiom";"P.E. Natiom";"P.E. Natiom";designer;0
003764;RASARIO;RASARIO;RASARIO;designer;0
000341;Fay;Fay;Fay;designer;0
001008;Altuzarra;Altuzarra;Altuzarra;designer;0
200642;"Miu Miu Sunglasses";"Miu Miu Sunglasses";"Miu Miu Sunglasses";designer;0
003765;RHODE;RHODE;RHODE;designer;0
000355;"Philosophy di Alberta Ferretti";"Philosophy di Alberta Ferretti";"Philosophy di Alberta Ferretti";designer;0
001011;Aquazzura;Aquazzura;Aquazzura;designer;0
200647;"Veronica Beard";"Veronica Beard";"Veronica Beard";designer;0
003766;"Richard Quinn";"Richard Quinn";"Richard Quinn";designer;0
000367;"Paul Smith";"Paul Smith";"Paul Smith";designer;0
001127;"Lisa Marie Fernandez";"Lisa Marie Fernandez";"Lisa Marie Fernandez";designer;0
200648;"ATM Anthony Thomas Melillo";"ATM Anthony Thomas Melillo";"ATM Anthony Thomas Melillo";designer;0
003767;"THEODORA WARRE";"THEODORA WARRE";"THEODORA WARRE";designer;0
000368;"Jane Laug LLC";"Jane Laug LLC";"Jane Laug LLC";designer;0
001125;"Vanessa Bruno";"Vanessa Bruno";"Vanessa Bruno";designer;0
200649;Monse;Monse;Monse;designer;0
003768;"Timeless Pearly";"Timeless Pearly";"Timeless Pearly";designer;0
000377;T-Bags;T-Bags;T-Bags;designer;0
001133;"Pierre Balmain";"Pierre Balmain";"Pierre Balmain";designer;0
200650;Prism;Prism;Prism;designer;0
003769;Eera;Eera;Eera;designer;0
000378;"Ella Moss";"Ella Moss";"Ella Moss";designer;0
001010;A.P.C.;A.P.C.;A.P.C.;designer;0
200651;"Huishan Zhang";"Huishan Zhang";"Huishan Zhang";designer;0
003770;COLOVOS;COLOVOS;COLOVOS;designer;0
000380;4LoveAndLiberty;4LoveAndLiberty;4LoveAndLiberty;designer;0
001123;Theresa;Theresa;Theresa;designer;0
200652;Edit;Edit;Edit;designer;0
003771;"Solid & Striped";"Solid & Striped";"Solid & Striped";designer;0
000402;Essentiel;Essentiel;Essentiel;designer;0
001126;"Adidas by O.C.";"Adidas by O.C.";"Adidas by O.C.";designer;0
200653;Camilla;Camilla;Camilla;designer;0
003772;"Alo Yoga";"Alo Yoga";"Alo Yoga";designer;0
000408;"Gold Hawk";"Gold Hawk";"Gold Hawk";designer;0
001131;"Lily Aldridge for Velvet";"Lily Aldridge for Velvet";"Lily Aldridge for Velvet";designer;0
200654;"David Koma";"David Koma";"David Koma";designer;0
003773;"Timeless Pearly";"Timeless Pearly";"Timeless Pearly";designer;0
000427;Rock&Republic;Rock&Republic;Rock&Republic;designer;0
001132;Fisico;Fisico;Fisico;designer;0
200655;"Poupette St Barth";"Poupette St Barth";"Poupette St Barth";designer;0
003774;Alaïa;Alaïa;Alaïa;designer;0
000428;"Denim by Victoria Beckham";"Denim by Victoria Beckham";"Denim by Victoria Beckham";designer;0
001134;Isharya;Isharya;Isharya;designer;0
200656;"Sophie Bille Brahe";"Sophie Bille Brahe";"Sophie Bille Brahe";designer;0
003775;"Paris Texas";"Paris Texas";"Paris Texas";designer;0
000430;Paige;Paige;Paige;designer;0
001135;"Mary Katrantzou Current/Elliott";"Mary Katrantzou Current/Elliott";"Mary Katrantzou Current/Elliott";designer;0
200657;"Athena Procopiou";"Athena Procopiou";"Athena Procopiou";designer;0
003776;"Lanston Sport";"Lanston Sport";"Lanston Sport";designer;0
000431;"Antik Denim";"Antik Denim";"Antik Denim";designer;0
001136;"Stephen Jones";"Stephen Jones";"Stephen Jones";designer;0
200658;"Isa Arfen";"Isa Arfen";"Isa Arfen";designer;0
003777;Elhanati;Elhanati;Elhanati;designer;0
000432;Coast/Weber;Coast/Weber;Coast/Weber;designer;0
001137;"IAM by Ileana Makri";"IAM by Ileana Makri";"IAM by Ileana Makri";designer;0
200659;Rockins;Rockins;Rockins;designer;0
003778;"Kenzo Kids";"Kenzo Kids";"Kenzo Kids";designer;0
000437;"John Eshaya T`S";"John Eshaya T`S";"John Eshaya T`S";designer;0
001138;MSGM;MSGM;MSGM;designer;0
200660;Kayu;Kayu;Kayu;designer;0
003779;"Marcelo Burlon Kids of Milan";"Marcelo Burlon Kids of Milan";"Marcelo Burlon Kids of Milan";designer;0
000440;Splendid;Splendid;Splendid;designer;0
001139;"The Row for Superga";"The Row for Superga";"The Row for Superga";designer;0
200661;"Johanna Ortiz";"Johanna Ortiz";"Johanna Ortiz";designer;0
003780;"Zeynep Arçay";"Zeynep Arçay";"Zeynep Arçay";designer;0
000444;"Earl Jean";"Earl Jean";"Earl Jean";designer;0
001140;"Prabal Gurung";"Prabal Gurung";"Prabal Gurung";designer;0
200662;"Mara Hoffman";"Mara Hoffman";"Mara Hoffman";designer;0
003781;"The Animals Observatory";"The Animals Observatory";"The Animals Observatory";designer;0
000460;"Vera Wang";"Vera Wang";"Vera Wang";designer;0
001141;Nike;Nike;Nike;designer;0
001340;Rochas;Rochas;Rochas;designer;0
003782;"Sorel Kids";"Sorel Kids";"Sorel Kids";designer;0
000462;"Mauro Grifoni";"Mauro Grifoni";"Mauro Grifoni";designer;0
001142;"Jewel by Lisa";"Jewel by Lisa";"Jewel by Lisa";designer;0
001341;"Mother of Pearl";"Mother of Pearl";"Mother of Pearl";designer;0
003783;"INUIKII Kids";"INUIKII Kids";"INUIKII Kids";designer;0
001356;"Golden Goose";"Golden Goose";"Golden Goose";designer;0
003798;"Alan Crocetti";"Alan Crocetti";"Alan Crocetti";designer;0
000586;Theresa.;Theresa.;Theresa.;designer;0
001158;Acne;Acne;Acne;designer;0
001357;Co;Co;Co;designer;0
000276;Valentino;Valentino;Valentino;designer;0
000680;Aka;Aka;Aka;designer;0
001180;Versace;Versace;Versace;designer;0
001379;"Max Mara";"Max Mara";"Max Mara";designer;0
004054;"BOGNER Kids";"BOGNER Kids";"BOGNER Kids";designer;0
000277;"Behnaz Sarafpour";"Behnaz Sarafpour";"Behnaz Sarafpour";designer;0
000682;Radcliffe;Radcliffe;Radcliffe;designer;0
001181;"Joanna Laura Constantine";"Joanna Laura Constantine";"Joanna Laura Constantine";designer;0
001380;"S Max Mara";"S Max Mara";"S Max Mara";designer;0
004055;"Perfect Moment Kids";"Perfect Moment Kids";"Perfect Moment Kids";designer;0
000279;"Derek Lam";"Derek Lam";"Derek Lam";designer;0
000683;"Moschino Cheap&Chic";"Moschino Cheap&Chic";"Moschino Cheap&Chic";designer;0
001182;"Tak. Ori";"Tak. Ori";"Tak. Ori";designer;0
001381;Bougeotte;Bougeotte;Bougeotte;designer;0
004056;"Dodo Bar Or Kids";"Dodo Bar Or Kids";"Dodo Bar Or Kids";designer;0
000281;Prada;Prada;Prada;designer;0
000686;Jovovich-Hawk;Jovovich-Hawk;Jovovich-Hawk;designer;0
001183;Y-3;Y-3;Y-3;designer;0
001382;Neous;Neous;Neous;designer;0
004057;"Poupette St Barth Kids";"Poupette St Barth Kids";"Poupette St Barth Kids";designer;0
000283;Moncler;Moncler;Moncler;designer;0
004111;"Mini Rodini";"Mini Rodini";"Mini Rodini";designer;0
000390;"Jenny Packham";"Jenny Packham";"Jenny Packham";designer;0
000771;"Sea New York";"Sea New York";"Sea New York";designer;0
001237;"Nathalie Trad";"Nathalie Trad";"Nathalie Trad";designer;0
003622;Khaite;Khaite;Khaite;designer;0
004112;Asics;Asics;Asics;designer;0
000412;"Citizens of Humanity";"Citizens of Humanity";"Citizens of Humanity";designer;0
000773;"Aris Geldis";"Aris Geldis";"Aris Geldis";designer;0
001238;"True Religion x Joan Smalls";"True Religion x Joan Smalls";"True Religion x Joan Smalls";designer;0
003623;Alanui;Alanui;Alanui;designer;0
004113;"Ralph Lauren Purple Label";"Ralph Lauren Purple Label";"Ralph Lauren Purple Label";designer;0
003667;Goldsign;Goldsign;Goldsign;designer;0
loewe;LOEWE;;;designer;1
louboutin;Louboutin;;;designer;2
studio_plumen;"Studio Plumen";"Studio Plumen";"Studio Plumen";designer;3
niki_jones;"Niki Jones";"Niki Jones";"Niki Jones";designer;4
margaux_keller;"Margaux Keller";;;designer;5
designer_matta_203;"Matt A.";;;designer;6
timfinney;"Tim Finney";;;designer;7
zaro;;;Zaro;designer;8
machine_wash;"machine wash";机洗;"lavado a máquina";clothing_care_instructions;0
machine_wash_cold;"machine wash cold";冷水机洗;"lavado a máquina con agua fría";clothing_care_instructions;0
hand_wash;"hand wash";手洗;"lavado a mano";clothing_care_instructions;0
dry_clean;"dry clean";干洗;"limpieza en seco";clothing_care_instructions;0
spot_clean;"spot clean";局部清洗;"limpieza en puntos específicos";clothing_care_instructions;0
specialist_clean;"specialist clean";专业清洗;"limpieza por especialistas";clothing_care_instructions;0
do_not_clean;"do not clean";请勿清洗;"no limpiar";clothing_care_instructions;0
machine_wash_at_30_degrees;"machine wash at 30 degrees";30摄氏度机洗;"lavado a máquina a 30 grados";clothing_care_instructions;0
machine_wash_at_40_degrees;"machine wash at 40 degrees";40摄氏度机洗;"lavado a máquina a 40 grados";clothing_care_instructions;0
machine_wash_at_50_degrees;"machine wash at 50 degrees";50摄氏度机洗;"lavado a máquina a 50 grados";clothing_care_instructions;0
machine_wash_at_60_degrees;"machine wash at 60 degrees";60摄氏度机洗;"lavado a máquina a 60 grados";clothing_care_instructions;0
machine_wash_at_30;"machine wash at 30°C";30摄氏度机洗;"lavado a máquina a 30°C";clothing_care_instructions;1
machine_wash_at_40;"machine wash at 40°C";40摄氏度机洗;"lavado a máquina a 40°C";clothing_care_instructions;2
machine_wash_at_50;"machine wash at 50°C";50摄氏度机洗;"lavado a máquina a 50°C";clothing_care_instructions;3
machine_wash_at_60;"machine wash at 60°C";60摄氏度机洗;"lavado a máquina a 60°C";clothing_care_instructions;4
water_repellant;"Using water repellant is recommended";;;clothing_care_instructions;5
patch_pocket;"patch pocket";单个贴袋;"bolsillo de parche";clothing_pocket_description;0
patch_pockets;"patch pockets";贴袋;"bolsillos de parche";clothing_pocket_description;0
slit_pocket;"slit pocket";单个插袋;"bolsillo ojal";clothing_pocket_description;0
slit_pockets;"slit pockets";插袋;"bolsillos ojal";clothing_pocket_description;0
side_slit_pockets;"side slit pockets";侧插袋;"bolsillos ojal laterales";clothing_pocket_description;0
zipped_pocket;"zipped pocket";单个拉链口袋;"bolsillo con cierre";clothing_pocket_description;0
zipped_pockets;"zipped pockets";拉链口袋;"bolsillos con cierre";clothing_pocket_description;0
breast_pocket;"breast pocket";单个胸袋;"bolsillo de camisa";clothing_pocket_description;0
breast_pockets;"breast pockets";胸袋;"bolsillos del pecho";clothing_pocket_description;0
flap_pocket;"flap pocket";单个带盖口袋;"bolsillo con solapa";clothing_pocket_description;0
flap_pockets;"flap pockets";带盖口袋;"bolsillos con solapa";clothing_pocket_description;0
faux_pocket;"faux pocket";单个装饰口袋;"bolsillo de imitación";clothing_pocket_description;0
faux_pockets;"faux pockets";装饰口袋;"bolsillos de imitación";clothing_pocket_description;0
welt_pocket;"welt pocket";单个单嵌线袋;"bolsillo ribeteado";clothing_pocket_description;0
